"","State","County","fips","7_day_average_case_growth"
"1690","Minnesota","Faribault","27043",0.85663357320595
"1691","Minnesota","Lincoln","27081",1.0537443488926
"1692","Minnesota","Mahnomen","27087",2.43713532843968
"1693","Mississippi","Jefferson","28063",0.297245578771407
"1694","Mississippi","Kemper","28069",0.571185326861929
"1695","Mississippi","Neshoba","28099",1.10910429507142
"1696","Mississippi","Sharkey","28125",1.30947800959546
"1697","Missouri","Atchison","29005",3.67965367965368
"1698","Missouri","Barry","29009",1.27841280064519
"1699","Missouri","Buchanan","29021",0.268725644713603
"1700","Missouri","Chariton","29041",2.98619447779112
"1701","Missouri","Lincoln","29113",2.99790523776032
"1702","Missouri","Pettis","29159",2.61666847955824
"1703","Missouri","Ray","29177",3.75191219244617
"1704","Missouri","Wright","29229",0.730706075533662
"1705","Montana","Lake","30047",1.18224214461996
"1706","Montana","Park","30067",2.30842837225816
"1707","New Mexico","Roosevelt","35041",2.0304019345587
"1708","New Mexico","Valencia","35061",1.74256971005255
"1709","North Carolina","Greene","37079",0.956346719405703
"1710","North Carolina","Person","37145",1.23404217414431
"1711","North Carolina","Surry","37171",1.09591143826066
"1712","Ohio","Fulton","39051",0.908488800688983
"1713","Ohio","Shelby","39149",3.15095110785032
"1714","Oklahoma","Caddo","40015",2.03224785009264
"1715","Oklahoma","Cherokee","40021",3.98134472403506
"1716","Oklahoma","Choctaw","40023",1.58980699525119
"1717","Oklahoma","Latimer","40077",3.8418891672334
"1718","Oklahoma","Pittsburg","40121",8.73122196718845
"1719","Oregon","Columbia","41009",2.72158496936663
"1720","Oregon","Morrow","41049",2.60607614479684
"1721","Pennsylvania","Northumberland","42097",1.99026083567822
"1722","South Dakota","Aurora","46003",0.396260922576712
"1723","South Dakota","Faulk","46049",0
"1724","South Dakota","Lawrence","46081",9.92599576062309
"1725","South Dakota","Todd","46121",0.639753866268353
"1726","South Dakota","Union","46127",1.27091776276576
"1727","Tennessee","Smith","47159",3.1227803463996
"1728","Texas","Cherokee","48073",5.26654187003417
"1729","Texas","Harrison","48203",1.51399920672169
"1730","Texas","Hood","48221",2.78573381111248
"1731","Texas","Montague","48337",3.00185275551247
"1732","Texas","Navarro","48349",1.62609548034393
"1733","Texas","Randall","48381",1.21166256075523
"1734","Texas","Shelby","48419",0.775655519335816
"1735","Texas","Starr","48427",2.68197977121359
"1736","Texas","Taylor","48441",0.741500076262244
"1737","Texas","Uvalde","48463",1.53121867307137
"1738","Texas","Willacy","48489",2.3940961650198
"1739","Texas","Young","48503",2.86735759047238
"1740","Utah","Uintah","49047",1.10878870819863
"1741","Virginia","Bristol city","51520",3.90570660200033
"1742","Virginia","Galax city","51640",0.639329434724802
"1743","Virginia","Roanoke city","51770",2.30538009149739
"1744","Washington","Skamania","53059",0.808817318251281
"1745","West Virginia","Greenbrier","54025",1.14433692454556
"1746","West Virginia","Hancock","54029",1.50879739390662
"1747","West Virginia","Pleasants","54073",6.23015873015873
"1748","Wisconsin","Iron","55051",0.595314658116124
"1749","Wisconsin","Marinette","55075",3.81490033566291
"1750","Wisconsin","Richland","55103",4.77552131963897
"1751","Wisconsin","Waupaca","55135",3.0174710165854
"1752","Wyoming","Goshen","56015",9.52308778722639
"1753","Wyoming","Washakie","56043",5.49002714121981
"1754","Alabama","Monroe","01099",1.2710496993853
"1755","Arizona","Gila","04007",1.38705897832712
"1756","Arkansas","Johnson","05071",1.03459840884014
"1757","California","Glenn","06021",1.57430015162932
"1758","Colorado","Baca","08009",0
"1759","Colorado","Moffat","08081",1.12087912087912
"1760","Florida","Hendry","12051",0.854002023248812
